"","ID","SentType","Token","SentNumber","Group","RT","N","SubStat","Negation","CompTruth","Matrix","order","goal","study","Value","logRT"
"204","17233","T6","tortoises",5,"A",1663,1,"novice",1,1,"Babies don't know that",2,"none","cb","Agree",7.41637847919293
"205","17233","T7","parrots",7,"A",1961,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Disagree",7.58120982619635
"206","17233","T7","parrots",7,"A",1961,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Agree",7.58120982619635
"207","17233","T7","watermellon",7,"A",1987,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Disagree",7.59438124255182
"208","17233","T7","watermellon",7,"A",1987,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Agree",7.59438124255182
"209","17233","T8","kiwis",8,"A",687,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",6.53233429222235
"210","17233","T8","kiwis",8,"A",687,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",6.53233429222235
"211","17233","T8","pigeons",8,"A",2277,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",7.73061406606374
"212","17233","T8","pigeons",8,"A",2277,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",7.73061406606374
"213","17233","T9","oranges",9,"A",891,1,"novice",0,1,"Babies say that",2,"none","cb","Agree",6.79234442747081
"214","17233","T9","oranges",9,"A",891,1,"novice",0,1,"Babies say that",2,"none","cb","Agree",6.79234442747081
"215","17233","T9","vultures",9,"A",1259,1,"novice",0,1,"Babies say that",2,"none","cb","Agree",7.13807303404435
"216","17233","T9","vultures",9,"A",1259,1,"novice",0,1,"Babies say that",2,"none","cb","Agree",7.13807303404435
"217","17236","T1","oranges",4,"F",925,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Agree",6.82979373751242
"218","17236","T1","oranges",4,"F",925,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Disagree",6.82979373751242
"219","17236","T1","vultures",4,"F",10221,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Agree",9.23219970632908
"220","17236","T1","vultures",4,"F",10221,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Disagree",9.23219970632908
"221","17236","T2","parrots",2,"F",858,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",6.75460409948796
"222","17236","T2","parrots",2,"F",858,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",6.75460409948796
